id,name,category,subcategory,vendor,website,documentation,github_url,logo,description,open_source,license,pricing_model,release_year,latest_version,github_stars,community_score,enterprise_adoption_score,enterprise_readiness_score,latency_score,performance_score,scalability_score,security_score,governance_score,observability_score,cost_efficiency_score,developer_experience_score,deployment_complexity_score,ecosystem_maturity_score,integration_score,maintenance_score,benchmark_score,overall_rating,best_for,supported_clouds,gpu_requirement,multi_modal_support,rag_support,agent_support,fine_tuning_support,api_available,self_hosting_support,vector_search_support,streaming_support,compliance,sla_support,pricing_notes,enterprise_clients,top_competitors,tags,ai_trust_score,production_reliability_score,last_updated
ide-cursor,Cursor,AI IDE Tools,AI Code Editor,Anysphere,https://cursor.com,,,,The leading AI-first code editor built on VS Code with powerful agentic editing (Composer).,false,,Freemium,2023,,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,95,,,,false,,,,,,,,,,,,,cursor vscode agentic coding,85,85,
ide-windsurf,Windsurf,AI IDE Tools,AI Code Editor,Codeium,https://codeium.com/windsurf,,,,Agentic AI IDE with continuous flow state and multi-file intelligent editing.,false,,Freemium,2024,,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,93,,,,false,,,,,,,,,,,,,windsurf codeium agentic,85,85,
ide-copilot,GitHub Copilot,AI IDE Tools,IDE Extension,GitHub,https://github.com/features/copilot,,,,The industry standard AI pair programmer extension.,false,,Subscription,2021,,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,94,,,,false,,,,,,,,,,,,,github copilot enterprise,85,85,
ide-copilot-workspace,Copilot Workspace,AI IDE Tools,Cloud AI IDE,GitHub,https://githubnext.com/projects/copilot-workspace,,,,Task-centric AI developer environment right in the browser.,false,,Subscription,2024,,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,88,,,,false,,,,,,,,,,,,,github workspace cloud,85,85,
ide-zed,Zed AI,AI IDE Tools,Code Editor,Zed Industries,https://zed.dev,,,,"Ultra-fast, Rust-based collaborative code editor with native AI integration.",true,,Freemium,2024,,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,89,,,,false,,,,,,,,,,,,,zed fast rust ai,85,85,
ide-codeium,Codeium,AI IDE Tools,IDE Extension,Codeium,https://codeium.com,,,,"Free, lightning-fast AI autocomplete and chat extension.",false,,Freemium,2022,,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,92,,,,false,,,,,,,,,,,,,codeium autocomplete free,85,85,
ide-amazon-q,Amazon Q Developer,AI IDE Tools,IDE Extension,AWS,https://aws.amazon.com/q/developer/,,,,AWS-optimized AI coding companion with security scanning.,false,,Subscription,2023,,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,86,,,,false,,,,,,,,,,,,,aws q codewhisperer enterprise,85,85,
ide-continue,Continue.dev,AI IDE Tools,Open Source Extension,Continue,https://continue.dev,,,,The leading open-source AI code assistant that connects to any local LLM.,true,,Free,2023,,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,91,,,,false,,,,,,,,,,,,,continue open-source local-llm,85,85,
ide-supermaven,Supermaven,AI IDE Tools,IDE Extension,Supermaven,https://supermaven.com,,,,AI copilot with an industry-leading 1-million-token context window.,false,,Freemium,2024,,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,90,,,,false,,,,,,,,,,,,,supermaven long-context fast,85,85,
ide-aider,Aider,AI IDE Tools,CLI AI Assistant,Paul Gauthier,https://aider.chat,,,,AI pair programming in your terminal. Let AI write and commit code for you.,true,,Free,2023,,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,94,,,,false,,,,,,,,,,,,,aider cli terminal agentic,85,85,
ide-pearai,PearAI,AI IDE Tools,AI Code Editor,PearAI,https://trypear.ai,,,,"The open-source alternative to Cursor, an AI-powered VSCode fork.",true,,Free,2024,,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,,,,false,,,,,,,,,,,,,pearai open-source editor,85,85,
ide-cline,Cline (Claude Dev),AI IDE Tools,Agentic Extension,Cline,https://github.com/cline/cline,,,,Autonomous coding agent extension for VSCode.,true,,Free,2024,,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,92,,,,false,,,,,,,,,,,,,cline claude-dev autonomous agent,85,85,
ide-sourcegraph-cody,Sourcegraph Cody,AI IDE Tools,IDE Extension,Sourcegraph,https://sourcegraph.com/cody,,,,AI coding assistant deeply integrated with massive codebase context.,false,,Freemium,2023,,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,89,,,,false,,,,,,,,,,,,,cody sourcegraph enterprise context,85,85,
ide-tabnine,Tabnine,AI IDE Tools,IDE Extension,Tabnine,https://www.tabnine.com,,,,Privacy-first AI coding assistant for strict enterprise environments.,false,,Subscription,2018,,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,84,,,,false,,,,,,,,,,,,,tabnine privacy secure enterprise,85,85,
