id,name,category,subcategory,vendor,website,documentation,github_url,logo,description,open_source,license,pricing_model,release_year,latest_version,github_stars,community_score,enterprise_adoption_score,enterprise_readiness_score,latency_score,performance_score,scalability_score,security_score,governance_score,observability_score,cost_efficiency_score,developer_experience_score,deployment_complexity_score,ecosystem_maturity_score,integration_score,maintenance_score,benchmark_score,overall_rating,ai_trust_score,production_reliability_score,best_for,supported_clouds,gpu_requirement,multi_modal_support,rag_support,agent_support,fine_tuning_support,api_available,self_hosting_support,vector_search_support,streaming_support,compliance,sla_support,pricing_notes,enterprise_clients,top_competitors,tags,last_updated
comp-onetrust,OneTrust Trust Intelligence,Compliance Tools,Privacy & AI Compliance,OneTrust,https://onetrust.com,https://onetrust.com/resources/,,,Compliance and risk management suite facilitating global privacy laws EU AI Act and corporate governance compliance audits. Covers GDPR CCPA SOC2 and AI impact assessments.,false,Proprietary,Subscription,2016,2026.1,0,82,97,98,78,84,92,98,99,80,55,75,78,95,95,92,88,89,98,96,"EU AI Act assessments, global privacy management, regulatory audits","Any",None,false,false,false,false,true,false,false,false,"SOC2, HIPAA, FedRAMP, ISO27001",true,"From $50K/year; Enterprise pricing custom","Chevron,Samsung,Unilever,Pinterest","Vanta,Drata,Securiti.ai",compliance privacy eu-ai-act gdpr audit risk governance onetrust,2026-06-01
comp-vanta,Vanta,Compliance Tools,Security Compliance Automation,Vanta Inc,https://vanta.com,https://help.vanta.com,,,Automated security compliance platform for SOC2 ISO27001 HIPAA and GDPR. Continuously monitors your infrastructure and automatically collects audit evidence to accelerate certifications.,false,Proprietary,Subscription,2018,current,0,88,88,90,80,82,88,94,92,82,72,86,74,88,90,86,84,86,94,88,"SOC2/ISO27001 certification automation, startup-to-enterprise compliance, audit readiness","AWS,Azure,GCP",None,false,false,false,false,true,false,false,false,"SOC2, ISO27001, HIPAA, GDPR",true,"Starter $7,200/year; Growth $15,000/year; Enterprise custom pricing","Automattic,Calendly,Lattice,1Password","Drata,Secureframe,Sprinto",vanta soc2 compliance automation monitoring certification audit evidence,2026-06-01
comp-drata,Drata,Compliance Tools,Security Compliance Automation,Drata Inc,https://drata.com,https://help.drata.com,,,Continuous security and compliance platform with 200+ native integrations. Automates evidence collection for 12+ frameworks including SOC2 ISO27001 PCI-DSS HIPAA and EU AI Act readiness.,false,Proprietary,Subscription,2020,current,0,88,86,88,80,82,86,94,92,84,72,86,72,86,90,84,84,86,94,88,"Compliance automation, continuous monitoring, multi-framework coverage","AWS,Azure,GCP",None,false,false,false,false,true,false,false,false,"SOC2, ISO27001, HIPAA, PCI-DSS",true,"Starter from $10K/year; Growth and Enterprise custom","Notion,Lemonade,Superhuman,Linear","Vanta,Secureframe,Thoropass",drata compliance automation soc2 iso27001 pci-dss hipaa continuous monitoring,2026-06-01
comp-secureframe,Secureframe,Compliance Tools,Security Compliance Automation,Secureframe Inc,https://secureframe.com,https://help.secureframe.com,,,Security and compliance automation platform for achieving and maintaining SOC2 ISO27001 HIPAA GDPR PCI-DSS. Features AI-assisted compliance workflows and continuous control monitoring.,false,Proprietary,Subscription,2020,current,0,84,82,84,80,80,84,92,90,80,70,84,70,84,86,82,82,83,92,85,"SOC2 automation, small-to-mid enterprise compliance, AI-assisted workflows","Any",None,false,false,false,false,true,false,false,false,"SOC2, ISO27001, HIPAA, GDPR",true,"From $12K/year; Enterprise custom pricing","YC startups,Mid-size SaaS companies","Vanta,Drata,Thoropass",secureframe compliance soc2 automation ai-assisted hipaa gdpr,2026-06-01
comp-securiti,Securiti.ai,Compliance Tools,Data Governance & AI Privacy,Securiti Inc,https://securiti.ai,https://securiti.ai/docs/,,,AI-powered platform for data privacy security and governance. Covers data discovery PII cataloging consent management and AI governance with EU AI Act and DPDPA readiness built in.,false,Proprietary,Subscription,2019,current,0,80,86,88,78,84,88,96,96,84,70,80,78,86,88,84,86,86,96,88,"AI data governance, PII discovery, consent management, multi-regulation compliance","Any",None,false,false,false,false,true,false,false,false,"SOC2, ISO27001, GDPR, CCPA, HIPAA",true,"Enterprise subscription; contact for pricing","Samsung,Unilever,Hyundai","OneTrust,BigID,Collibra",securiti ai-governance pii data-discovery consent management eu-ai-act,2026-06-01
comp-bigid,BigID,Compliance Tools,Data Discovery & Privacy,BigID Inc,https://bigid.com,https://bigid.com/documentation/,,,Enterprise data intelligence platform for data discovery classification privacy risk management and compliance. Supports GDPR CCPA HIPAA data minimization and right-to-be-forgotten workflows.,false,Proprietary,Subscription,2016,current,0,80,86,88,78,84,88,96,94,84,70,80,80,86,88,84,84,85,96,88,"Data discovery, classification, privacy risk, GDPR data subject rights","AWS,Azure,GCP",None,false,false,false,false,true,false,false,false,"SOC2, ISO27001, GDPR, CCPA, HIPAA",true,"Enterprise subscription; contact for pricing","MGM Resorts,Anthem,S&P Global","OneTrust,Securiti.ai,Collibra",bigid data-discovery classification privacy gdpr ccpa hipaa enterprise,2026-06-01
comp-immuta,Immuta,Compliance Tools,Data Access Governance,Immuta Inc,https://www.immuta.com,https://documentation.immuta.com,,,Automated data access control and governance platform. Provides attribute-based access control (ABAC) for cloud data platforms ensuring policies are applied consistently across Databricks Snowflake and BigQuery.,false,Proprietary,Subscription,2015,current,0,78,85,87,80,84,88,96,94,84,72,82,76,86,88,84,84,85,96,88,"Data access control governance, Snowflake/Databricks policy enforcement, regulated industries","AWS,Azure,GCP",None,false,false,false,false,true,false,false,false,"SOC2, ISO27001, HIPAA, FedRAMP",true,"Enterprise subscription; contact for pricing","US Air Force,CapitalOne,NHS","Privacera,Alation,OneTrust",immuta data-access-control abac governance snowflake databricks policy enterprise,2026-06-01
comp-collibra,Collibra,Compliance Tools,Data Governance & Cataloging,Collibra NV,https://www.collibra.com,https://productresources.collibra.com/docs/collibra/,,,Enterprise data governance and intelligence platform providing data cataloging lineage quality and policy management. Collibra AI Governance extends to responsible AI lifecycle management.,false,Proprietary,Subscription,2008,2024.11,0,80,92,94,78,82,88,96,96,82,62,78,78,94,94,90,86,88,96,92,"Enterprise data catalog, AI governance, data quality, trusted data for ML","AWS,Azure,GCP",None,false,false,false,false,true,false,false,false,"SOC2, ISO27001, GDPR",true,"Enterprise subscription from $100K/year","Shell,Nike,AstraZeneca,US Bank","Alation,Atlan,Informatica",collibra data-governance catalog lineage ai-governance enterprise quality policy,2026-06-01
comp-alation,Alation Data Catalog,Compliance Tools,Data Cataloging & Governance,Alation Inc,https://www.alation.com,https://developer.alation.com,,,Data intelligence platform with collaborative data catalog built-in governance and open data quality. Popular for search-first data discovery and data governance at Fortune 500 enterprises.,false,Proprietary,Subscription,2012,current,0,82,86,88,80,82,86,92,92,82,68,80,76,88,90,86,84,85,92,88,"Data discovery, search-first catalog, governance, Fortune 500 data democratization","AWS,Azure,GCP",None,false,false,false,false,true,false,false,false,"SOC2, ISO27001, GDPR",true,"Enterprise subscription; contact for pricing","Boeing,Pfizer,HP,Nasdaq","Collibra,Atlan,DataHub",alation catalog data-governance discovery search enterprise fortune-500,2026-06-01
comp-atlan,Atlan,Compliance Tools,Modern Data Catalog,Atlan Technologies,https://atlan.com,https://ask.atlan.com,,,Modern active metadata platform built for data teams. Provides collaborative data catalog with Slack-like workflows embedded data lineage automated PII tagging and data quality management.,false,Proprietary,Freemium,2019,current,0,84,82,84,82,84,86,90,88,84,74,86,72,84,88,84,84,83,90,86,"Modern data teams, dbt/Airflow catalog, collaborative governance, startup-to-scale","AWS,Azure,GCP",None,false,false,false,false,true,false,false,false,"SOC2, ISO27001, GDPR",true,"Starter free; Growth from $35K/year; Enterprise custom","Hashicorp,Plaid,Postman","Collibra,Alation,DataHub",atlan catalog data-governance modern collaborative dbt lineage pii metadata,2026-06-01
