id,name,category,subcategory,vendor,website,documentation,github_url,logo,description,open_source,license,pricing_model,release_year,latest_version,github_stars,community_score,enterprise_adoption_score,enterprise_readiness_score,latency_score,performance_score,scalability_score,security_score,governance_score,observability_score,cost_efficiency_score,developer_experience_score,deployment_complexity_score,ecosystem_maturity_score,integration_score,maintenance_score,benchmark_score,overall_rating,ai_trust_score,production_reliability_score,best_for,supported_clouds,gpu_requirement,multi_modal_support,rag_support,agent_support,fine_tuning_support,api_available,self_hosting_support,vector_search_support,streaming_support,compliance,sla_support,pricing_notes,enterprise_clients,top_competitors,tags,last_updated
sdlc-copilot,GitHub Copilot,AI SDLC Tools,AI Code Assistant,GitHub / Microsoft,https://github.com/features/copilot,https://docs.github.com/copilot,,,AI-powered coding assistant integrating into VS Code JetBrains Vim and more. Generates code from comments and context using OpenAI Codex models. Most widely adopted AI developer tool with 1.8M+ paid users.,false,Proprietary,Subscription,2021,2026.1,0,99,99,98,92,95,96,94,95,90,80,99,80,98,98,96,96,96,92,98,"Developer acceleration, code generation, boilerplate, enterprise GitHub integration","Azure (native)",None,true,false,true,false,true,false,false,false,"SOC2, ISO27001, HIPAA",true,"Individual $10/month; Business $19/user/month; Enterprise $39/user/month","Airbnb,JPMorgan,Goldman Sachs,Shopify","Cursor,Tabnine,Amazon Q Developer,Codeium",copilot github microsoft ai-code developer assistant generation ide enterprise,2026-06-01
sdlc-cursor,Cursor,AI SDLC Tools,AI Code Editor,Anysphere Inc,https://cursor.sh,https://docs.cursor.com,,,AI-first code editor built on VS Code with deep codebase understanding. Supports multi-file edits natural language code generation and embedded chat with codebase context. Fastest growing AI dev tool in 2024-2026.,false,Proprietary,Freemium,2023,0.43.0,0,96,88,86,92,94,90,86,84,86,86,98,80,86,88,86,94,90,88,92,"Codebase-aware AI editing, complex multi-file refactors, power developers","Any",None,true,false,true,false,false,false,false,false,"SOC2",true,"Hobby free; Pro $20/month; Business $40/user/month","Series B startups,Individual developers,Early-adopter enterprises","GitHub Copilot,Windsurf,Tabnine,Amazon Q",cursor ai-editor vscode codebase context multi-file refactor developer,2026-06-01
sdlc-windsurf,Windsurf (Codeium),AI SDLC Tools,AI Code Editor,Codeium / Windsurf,https://codeium.com/windsurf,https://docs.codeium.com,,,AI-native IDE with Cascade agentic coding system. Provides deep context awareness across entire codebase for autonomous multi-file code generation and complex engineering tasks. Acquired by OpenAI in 2025.,false,Proprietary,Freemium,2024,current,0,90,82,82,90,92,86,84,82,84,90,96,80,82,84,84,92,87,85,88,"Agentic code writing, entire codebase reasoning, autonomous code generation","Any",None,true,false,true,false,false,false,false,false,"SOC2",true,"Free tier; Pro $15/month; Teams $35/user/month; Enterprise contact sales","Developers, Tech startups","Cursor,GitHub Copilot,Devin",windsurf codeium cascade agentic ide codebase autonomous multi-file openai,2026-06-01
sdlc-amazon-q,Amazon Q Developer,AI SDLC Tools,AI Code Assistant,Amazon Web Services,https://aws.amazon.com/q/developer/,https://docs.aws.amazon.com/amazonq/,,,AWS's AI-powered developer assistant for code generation debugging optimization and security scanning. Tightly integrated with the AWS ecosystem and specializes in AWS CDK CloudFormation and IAM policy generation.,false,Proprietary,Freemium,2023,current,0,88,88,90,88,88,88,92,90,86,82,90,76,90,92,88,88,88,88,90,"AWS-native development, CDK/CloudFormation generation, AWS security review","AWS",None,true,false,true,false,true,false,false,false,"SOC2, HIPAA, FedRAMP",true,"Free tier; Pro $19/user/month; Enterprise contact AWS","AWS enterprise customers,Government agencies","GitHub Copilot,Cursor,Tabnine",amazon-q developer aws code-generation iac cloudformation cdk security,2026-06-01
sdlc-tabnine,Tabnine,AI SDLC Tools,AI Code Assistant,Tabnine Inc,https://www.tabnine.com,https://docs.tabnine.com,,,AI code completion and generation platform with self-hosted private model option. Enterprise-first with codebase adaptation no data sharing and support for all major IDEs and popular programming languages.,false,Proprietary,Freemium,2018,current,0,84,84,86,88,86,84,88,86,82,80,88,74,88,88,84,84,84,86,86,"Privacy-first AI coding, self-hosted enterprise, on-premise code completion","AWS,Azure,GCP,Self-hosted",None,false,false,false,false,true,true,false,false,"SOC2, ISO27001",true,"Starter free; Pro $12/month; Enterprise $39/user/month","Comcast,Samsung,various enterprises","GitHub Copilot,Cursor,Codeium",tabnine code-completion private self-hosted enterprise ide all-languages privacy,2026-06-01
sdlc-devin,Devin,AI SDLC Tools,Autonomous AI Engineer,Cognition AI,https://cognition.ai,https://docs.cognition.ai,,,World's first autonomous AI software engineer. Devin can plan implement and debug complex engineering tasks independently. Manages its own code editor browser and terminal within a sandboxed environment.,false,Proprietary,Subscription,2024,current,0,88,78,78,80,88,78,84,82,78,70,86,72,78,80,78,86,81,84,80,"Autonomous multi-step engineering tasks, end-to-end feature implementation","Any",None,true,false,true,false,false,false,false,false,"SOC2",true,"Enterprise from $500/month; ACU-based pricing contact for details","Tech startups,Engineering teams","GitHub Copilot,Cursor,SWE-Agent",devin autonomous ai-engineer cognition end-to-end coding sde software-engineer,2026-06-01
sdlc-zenml,ZenML,AI SDLC Tools,MLOps Pipeline Framework,ZenML GmbH,https://zenml.io,https://docs.zenml.io,https://github.com/zenml-io/zenml,,Open MLOps framework for building portable and production-ready ML pipelines. Provides a clean abstraction layer that works across local Kubeflow Vertex AI SageMaker and Airflow backends.,true,Apache-2.0,Freemium,2021,0.57.1,4100,86,80,82,86,84,86,86,82,84,88,88,76,84,86,84,86,84,84,86,"Portable ML pipelines, cloud-agnostic MLOps, reproducible training pipelines","AWS,Azure,GCP,Self-hosted",Optional,false,true,true,true,true,true,false,false,"SOC2",true,Free OSS; ZenML Pro from $299/month; Enterprise contact sales,"Research teams,Startups building MLOps stacks","MLflow,Kubeflow,Kedro",zenml mlops pipeline portable cloud-agnostic reproducible kubeflow sagemaker vertex,2026-06-01
sdlc-mlflow,MLflow,AI SDLC Tools,ML Experiment Tracking & Registry,Databricks,https://mlflow.org,https://mlflow.org/docs/latest/,https://github.com/mlflow/mlflow,,Open-source platform for the complete ML lifecycle including experiment tracking model registry packaging and serving. Integrated into Databricks as the standard MLOps platform.,true,Apache-2.0,Freemium,2018,2.13.0,18000,96,95,96,90,88,90,86,88,88,96,94,78,96,96,94,88,92,88,94,"Experiment tracking, model registry, ML lifecycle management, Databricks-native MLOps","AWS,Azure,GCP,Self-hosted",None,false,false,true,true,true,true,false,false,"SOC2 (via Databricks)",true,Free OSS; Databricks Managed MLflow in workspace pricing,"Databricks customers,Netflix,Airbnb,Shopify","W&B,Neptune.ai,Comet ML",mlflow databricks experiment tracking model-registry lifecycle packaging serving,2026-06-01
sdlc-kedro,Kedro,AI SDLC Tools,ML Pipeline Framework,McKinsey QuantumBlack,https://kedro.org,https://docs.kedro.org,https://github.com/kedro-org/kedro,,Open-source Python framework for creating reproducible maintainable and modular data science pipelines. Enforces software engineering best practices (clean code testing configuration management) for ML workflows.,true,Apache-2.0,Free,2019,0.19.8,9600,88,84,84,88,84,86,86,84,84,90,90,76,86,88,84,84,86,84,88,"Production-grade ML pipelines, data science software engineering, QuantumBlack/McKinsey standard","Any",None,false,false,false,false,false,true,false,false,"GDPR compliant",false,Completely free and open-source,"McKinsey,QuantumBlack,Various enterprises","ZenML,MLflow,Metaflow",kedro pipeline reproducible modular ml-engineering mckinsey quantumblack best-practices,2026-06-01
sdlc-github-actions,GitHub Actions,AI SDLC Tools,CI/CD & MLOps Automation,GitHub / Microsoft,https://github.com/features/actions,https://docs.github.com/actions,,,Workflow automation platform built into GitHub. Widely used for CI/CD ML model training retraining evaluation and deployment pipelines. 15,000+ marketplace actions for ML model workflows.,false,Proprietary,Freemium,2018,current,0,96,96,96,88,88,90,92,88,86,84,94,70,98,96,92,88,92,88,94,"CI/CD for ML, automated model retraining, GitHub-integrated ML pipelines","AWS,Azure,GCP (via runners)",None,false,false,true,false,true,false,false,false,"SOC2, ISO27001, HIPAA",true,"Free for public repos; 2000 free minutes/month; $0.008/min for Linux","GitHub Enterprise customers,Netflix,Shopify","GitLab CI,Jenkins,CircleCI",github-actions cicd ml-pipeline automation retraining evaluation deployment mlops,2026-06-01
