id,name,category,subcategory,vendor,website,documentation,github_url,logo,description,open_source,license,pricing_model,release_year,latest_version,github_stars,community_score,enterprise_adoption_score,enterprise_readiness_score,latency_score,performance_score,scalability_score,security_score,governance_score,observability_score,cost_efficiency_score,developer_experience_score,deployment_complexity_score,ecosystem_maturity_score,integration_score,maintenance_score,benchmark_score,overall_rating,ai_trust_score,production_reliability_score,best_for,supported_clouds,gpu_requirement,multi_modal_support,rag_support,agent_support,fine_tuning_support,api_available,self_hosting_support,vector_search_support,streaming_support,compliance,sla_support,pricing_notes,enterprise_clients,top_competitors,tags,last_updated
sql-trino,Trino,SQL Engines,Distributed SQL Query Engine,Trino Software Foundation,https://trino.io,https://trino.io/docs/current/,https://github.com/trinodb/trino,,Fast distributed SQL query engine for running interactive analytic queries against multiple heterogeneous data sources including S3 Hive RDBMS and more.,true,Apache-2.0,Free,2012,450,9500,92,95,96,90,96,99,92,88,92,90,88,75,95,90,88,93,93,88,97,Cross-database queries and massive lakehouses,"AWS,Azure,GCP",None,false,true,true,false,true,true,false,true,"SOC2 compatible",true,Free and open-source; Starburst Enterprise adds SLA and support,"Netflix,LinkedIn,Airbnb","ClickHouse,Presto,Spark SQL",trino sql presto distributed-query lakehouse OLAP federation,2026-06-01
sql-clickhouse,ClickHouse,SQL Engines,Columnar OLAP Database,ClickHouse Inc,https://clickhouse.com,https://clickhouse.com/docs,https://github.com/ClickHouse/ClickHouse,,Fast open-source columnar database management system for online analytical processing. Fastest OLAP system for real-time analytics and observability workloads.,true,Apache-2.0,Freemium,2016,24.6,35000,97,94,95,99,99,98,94,88,94,92,90,82,96,92,90,97,95,90,96,"Real-time log analytics, high-speed telemetry, observability","AWS,Azure,GCP,Self-hosted",None,false,false,true,false,true,true,false,true,"SOC2, ISO27001",true,"Cloud: from $0.0236/GB compute; Self-hosted: free","Cloudflare,Uber,ByteDance,eBay","Trino,Druid,Pinot,StarRocks",clickhouse sql olap analytics telemetry logs database real-time columnar,2026-06-01
sql-duckdb,DuckDB,SQL Engines,In-process SQL Engine,DuckDB Labs,https://duckdb.org,https://duckdb.org/docs/,https://github.com/duckdb/duckdb,,"In-process SQL OLAP database management system designed for analytic workloads. SQLite for analytics — zero-config, embeddable, blazingly fast for local data.",true,MIT,Free,2019,1.0.0,21000,98,88,85,96,95,82,85,78,84,99,98,99,90,94,86,92,91,86,90,"Local data manipulation, fast parquet/pandas query, embedded analytics","Any (local/serverless)",None,false,false,false,false,false,true,false,false,GDPR compliant,false,Completely free and open-source; MotherDuck cloud adds collaboration,"Airbnb,dbt Labs,many indie devs","Pandas,SQLite,Polars",duckdb sql local analytic embed python parquet in-process,2026-06-01
sql-snowflake,Snowflake,SQL Engines,Cloud Data Warehouse,Snowflake Inc,https://www.snowflake.com,https://docs.snowflake.com,,,Multi-cloud SaaS data warehouse offering elastic compute and storage separation. Industry-leading enterprise data platform with AI and Cortex AI features.,false,Proprietary,Usage-based,2014,8.40,0,96,99,99,97,98,99,99,98,97,88,95,78,99,99,97,97,96,94,99,"Enterprise BI, data sharing, AI/ML workloads, multi-cloud analytics","AWS,Azure,GCP",Optional,true,true,true,false,true,false,false,true,"SOC2 Type II, ISO27001, HIPAA, PCI-DSS, FedRAMP",true,"Compute: $2–$4/credit; Storage: $23/TB/month; Contact for enterprise","Goldman Sachs,Capital One,DoorDash,Instacart","Databricks,BigQuery,Redshift",snowflake data-warehouse cloud sql analytics multi-cloud enterprise sla,2026-06-01
sql-bigquery,Google BigQuery,SQL Engines,Serverless Data Warehouse,Google Cloud,https://cloud.google.com/bigquery,https://cloud.google.com/bigquery/docs,,,Fully managed serverless cloud data warehouse enabling super-fast SQL analytics on massive datasets. Native AI/ML integration with Vertex AI and Gemini.,false,Proprietary,Usage-based,2010,current,0,95,98,99,96,98,99,99,98,99,84,93,72,99,99,97,97,96,93,99,"Serverless large-scale analytics, Google ecosystem, AI/ML integration",GCP,Optional,true,true,true,false,true,false,false,true,"SOC2, ISO27001, HIPAA, FedRAMP",true,"Storage: $0.02/GB/month; Query: $5/TB processed; Flat-rate from $1700/month","Twitter,Spotify,The Home Depot","Snowflake,Redshift,Databricks SQL",bigquery gcp serverless analytics sql data-warehouse google-cloud AI,2026-06-01
sql-redshift,Amazon Redshift,SQL Engines,Cloud Data Warehouse,Amazon Web Services,https://aws.amazon.com/redshift/,https://docs.aws.amazon.com/redshift/,,,Fast fully managed cloud data warehouse with columnar storage optimized for large-scale analytics. Tight integration with AWS ecosystem and Redshift Serverless.,false,Proprietary,Pay-as-you-go,2012,1.0.56767,0,91,96,98,92,95,98,98,96,96,86,89,76,98,98,95,94,93,91,97,"AWS-native analytics, massive enterprise data warehousing","AWS",None,false,true,false,false,true,false,false,true,"SOC2, ISO27001, HIPAA, PCI-DSS, FedRAMP",true,"Serverless: $0.375/RPU-hour; Provisioned: from $0.25/node-hour","Amazon,Lyft,Samsung,Coinbase","BigQuery,Snowflake,Databricks",redshift aws data-warehouse columnar analytics enterprise sql,2026-06-01
sql-databricks-sql,Databricks SQL,SQL Engines,Lakehouse SQL Engine,Databricks,https://www.databricks.com/product/databricks-sql,https://docs.databricks.com/sql/index.html,,,SQL analytics layer on top of the Databricks Lakehouse Platform. Unifies data science ML and analytics with Delta Lake and Apache Spark.,false,Proprietary,DBU-based,2021,current,0,94,96,98,94,97,99,98,96,97,90,92,78,98,98,95,96,94,92,98,"AI/ML + SQL unified analytics, Delta Lake, Unity Catalog governance","AWS,Azure,GCP",Optional,true,true,true,true,true,false,false,true,"SOC2, ISO27001, HIPAA, FedRAMP",true,"DBU pricing: $0.22–$0.75/DBU depending on tier; Enterprise contact sales","Shell,Comcast,Block","Snowflake,BigQuery,Synapse",databricks lakehouse delta-lake sql analytics ml unity-catalog spark,2026-06-01
sql-druid,Apache Druid,SQL Engines,Real-Time OLAP Database,Apache Software Foundation,https://druid.apache.org,https://druid.apache.org/docs/latest/,https://github.com/apache/druid,,High-performance real-time analytics database designed for OLAP queries on event data. Used for sub-second queries on trillions of rows in streaming and batch ingestion scenarios.,true,Apache-2.0,Free,2011,30.0.0,14000,88,90,91,96,97,92,89,84,90,88,82,82,90,88,87,93,90,88,94,"Real-time event analytics, user-facing dashboards, time-series data","AWS,Azure,GCP,Self-hosted",None,false,false,false,false,true,true,false,true,"SOC2 compatible",false,Open-source free; Imply Cloud provides managed service,"Twitter,Netflix,Alibaba,Lyft","ClickHouse,Pinot,StarRocks",druid apache real-time olap time-series streaming event-analytics,2026-06-01
sql-pinot,Apache Pinot,SQL Engines,Real-Time OLAP Database,Apache Software Foundation,https://pinot.apache.org,https://docs.pinot.apache.org,https://github.com/apache/pinot,,Distributed OLAP datastore designed for extremely low latency user-facing analytics at scale. Powers real-time analytics for LinkedIn's 800M member platform and beyond.,true,Apache-2.0,Free,2013,1.2.0,6100,82,88,89,99,96,96,88,82,88,88,78,84,88,86,86,93,89,87,93,"Ultra-low latency user-facing analytics, high-concurrency dashboards","AWS,Azure,GCP,Self-hosted",None,false,false,false,false,true,true,false,false,"SOC2 compatible",false,Open-source free; StarTree Cloud provides managed service,"LinkedIn,Uber,Stripe,WePay","Druid,ClickHouse,StarRocks",pinot apache real-time olap user-facing analytics high-concurrency linkedin,2026-06-01
sql-starrocks,StarRocks,SQL Engines,Vectorized OLAP Engine,StarRocks Inc,https://www.starrocks.io,https://docs.starrocks.io,https://github.com/StarRocks/StarRocks,,Next-generation sub-second MPP database for full analytics scenarios. Supports high-concurrency low-latency analytics for both historical and real-time data without denormalization.,true,Apache-2.0,Freemium,2021,3.3,11800,90,88,90,98,98,95,90,85,90,92,86,80,88,90,88,95,92,89,94,"Unified OLAP for real-time and batch; replaces complex Druid+Presto stacks","AWS,Azure,GCP,Self-hosted",None,false,false,false,false,true,true,false,true,"SOC2, ISO27001",true,Community edition free; Enterprise with advanced features available,"Alibaba,JD.com,Airbnb","ClickHouse,Druid,Pinot",starrocks mpp vectorized olap analytics real-time lakehouse,2026-06-01
