id,name,category,subcategory,vendor,website,documentation,github_url,logo,description,open_source,license,pricing_model,release_year,latest_version,github_stars,community_score,enterprise_adoption_score,enterprise_readiness_score,latency_score,performance_score,scalability_score,security_score,governance_score,observability_score,cost_efficiency_score,developer_experience_score,deployment_complexity_score,ecosystem_maturity_score,integration_score,maintenance_score,benchmark_score,overall_rating,best_for,supported_clouds,gpu_requirement,multi_modal_support,rag_support,agent_support,fine_tuning_support,api_available,self_hosting_support,vector_search_support,streaming_support,compliance,sla_support,pricing_notes,enterprise_clients,top_competitors,tags,ai_trust_score,production_reliability_score,last_updated
emb-openai-3large,text-embedding-3-large,Embedding Models,Dense Embedding,OpenAI,https://openai.com,https://platform.openai.com/docs,,,OpenAI's most capable embedding model with 3072 dimensions and state-of-art MTEB scores,false,Proprietary,Pay-per-use,2024,3-large,0,90,95,95,88,95,92,88,82,85,70,92,82,97,96,90,93,92,RAG pipelines; semantic search; enterprise retrieval,AWS Azure GCP,None,false,true,false,false,true,false,true,false,SOC2 GDPR HIPAA,true,$0.13/1M tokens,Microsoft Stripe Salesforce,Cohere Voyage Amazon,embedding rag semantic-search enterprise,75,80,2025-12-01
emb-cohere-3,Cohere Embed 3,Embedding Models,Dense Embedding,Cohere,https://cohere.com,https://docs.cohere.com,,,Enterprise embedding model with multilingual support and 1024 dimensions,false,Proprietary,Pay-per-use,2024,embed-english-v3.0,0,82,88,90,86,90,90,88,83,84,72,88,82,86,87,83,89,87,Multilingual RAG; enterprise search; classification,AWS Azure GCP,None,false,true,false,false,true,false,true,false,SOC2 GDPR HIPAA,true,$0.10/1M tokens,Oracle Salesforce,OpenAI Voyage Amazon,embedding multilingual enterprise rag,75,80,2025-12-01
emb-voyage-3,Voyage AI Embedding,Embedding Models,Dense Embedding,Voyage AI,https://voyageai.com,https://docs.voyageai.com,,,Best-in-class retrieval embeddings with domain-specific fine-tuning support,false,Proprietary,Pay-per-use,2024,voyage-3,0,78,80,82,88,93,88,83,75,80,75,87,80,80,82,80,93,85,High-precision retrieval; legal; finance; medical domains,AWS Azure GCP,None,false,true,false,false,true,false,true,false,SOC2,false,$0.06/1M tokens,None,OpenAI Cohere Amazon,embedding retrieval domain-specific fine-tuning,75,80,2025-12-01
emb-nomic,Nomic Embed,Embedding Models,Open Source Embedding,Nomic AI,https://nomic.ai,https://docs.nomic.ai,https://github.com/nomic-ai/nomic,,State-of-the-art open-source embedding model with 8192 token context,true,Apache-2.0,Free,2024,text-embed-1.5,8000,80,70,75,87,88,85,78,70,75,95,86,85,78,78,82,88,82,Self-hosted RAG; long-context retrieval; privacy-first,Any,Optional,false,true,false,false,true,true,true,false,Custom,false,Free — self-hosted; API available,None,OpenAI Cohere Voyage,embedding open-source long-context self-hosted,75,80,2025-12-01
emb-bge-m3,BGE-M3,Embedding Models,Open Source Embedding,BAAI,https://huggingface.co/BAAI/bge-m3,https://huggingface.co/BAAI/bge-m3,https://github.com/FlagOpen/FlagEmbedding,,Multilingual multi-granular embedding supporting 100+ languages and hybrid retrieval,true,MIT,Free,2023,1.0,18000,82,65,70,85,87,84,75,65,72,97,82,83,76,76,80,87,80,Multilingual RAG; hybrid search; academic research,Any,Optional,false,true,false,false,false,true,true,false,Custom,false,Free — open weights,None,OpenAI Cohere,embedding multilingual hybrid-search academic,75,80,2025-12-01
emb-amazon-titan,Amazon Titan Embeddings,Embedding Models,Cloud Embedding,AWS,https://aws.amazon.com/bedrock,https://docs.aws.amazon.com/bedrock,,,AWS-native embeddings fully integrated with Amazon Bedrock and AWS security,false,Proprietary,Pay-per-use,2023,v2,0,80,90,92,86,88,92,90,87,88,68,85,82,88,90,85,87,87,AWS-native RAG; Bedrock integration; enterprise AWS,AWS,None,false,true,false,false,true,false,true,false,SOC2 HIPAA FedRAMP,true,Per-token pricing in Bedrock,AWS customers,OpenAI Cohere,embedding aws bedrock enterprise native,75,80,2025-12-01
emb-e5-large,E5-Mistral-7B,Embedding Models,Open Source Embedding,Microsoft,https://huggingface.co/intfloat/e5-mistral-7b-instruct,https://huggingface.co/intfloat,https://github.com/microsoft/unilm,,Instruction-tuned embedding model using Mistral backbone for superior retrieval,true,MIT,Free,2024,7B,12000,75,65,68,83,88,82,72,65,70,96,83,82,75,75,78,88,78,Instruction-tuned retrieval; research; custom RAG,Any,Required,false,true,false,true,false,true,true,false,Custom,false,Free — open weights,None,OpenAI BGE Nomic,embedding instruction-tuned mistral retrieval,75,80,2025-12-01
emb-jina-v3,Jina Embeddings v3,Embedding Models,Dense Embedding,Jina AI,https://jina.ai,https://docs.jina.ai,https://github.com/jina-ai,,Task-adaptive embedding model with LoRA adapters for domain specialization,true,Apache-2.0,Freemium,2024,v3,20000,78,68,72,86,87,83,75,68,73,85,85,82,78,78,80,87,80,Domain-adaptive RAG; task-specific embeddings; multimodal,AWS GCP,Optional,true,true,false,true,true,true,true,false,Custom,false,API: $0.018/1M tokens; self-hosted free,None,OpenAI Cohere Nomic,embedding task-adaptive lora multimodal,75,80,2025-12-01
emb-text3large,text-embedding-3-large,Embedding Models,Proprietary,OpenAI,,,,,Top tier proprietary embeddings.,false,,,,,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,,,,false,,,,,,,,,,,,,,80,80,
emb-nomic,Nomic Embed Text,Embedding Models,Open Source,Nomic AI,,,,,Industry leading open-source local embeddings.,false,,,,,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,,,,false,,,,,,,,,,,,,,80,80,
