id,name,category,subcategory,vendor,website,documentation,github_url,logo,description,open_source,license,pricing_model,release_year,latest_version,github_stars,community_score,enterprise_adoption_score,enterprise_readiness_score,latency_score,performance_score,scalability_score,security_score,governance_score,observability_score,cost_efficiency_score,developer_experience_score,deployment_complexity_score,ecosystem_maturity_score,integration_score,maintenance_score,benchmark_score,overall_rating,ai_trust_score,production_reliability_score,best_for,supported_clouds,gpu_requirement,multi_modal_support,rag_support,agent_support,fine_tuning_support,api_available,self_hosting_support,vector_search_support,streaming_support,compliance,sla_support,pricing_notes,enterprise_clients,top_competitors,tags,last_updated
alg-xgboost,XGBoost,ML Algorithms,Supervised Learning — Classification & Regression,DMLC,https://xgboost.ai,https://xgboost.readthedocs.io,https://github.com/dmlc/xgboost,,Optimized distributed gradient boosting library. Industry gold standard for tabular data classification and regression. Wins Kaggle competitions and powers production ML systems worldwide.,true,Apache-2.0,Free,2014,2.1.0,25000,98,98,95,96,97,96,90,85,88,99,92,90,98,96,94,97,95,87,97,"Tabular classification and regression, feature engineering, structured data","Any",Optional,false,false,false,true,false,true,false,false,GDPR compliant,false,Completely free and open-source,"JPMorgan,Visa,Booking.com,many ML teams","LightGBM,CatBoost,Random Forest",xgboost supervised classification regression gradient-boosting tabular ensemble,2026-06-01
alg-lightgbm,LightGBM,ML Algorithms,Supervised Learning — Classification & Regression,Microsoft,https://lightgbm.readthedocs.io,https://lightgbm.readthedocs.io/en/stable/,https://github.com/microsoft/LightGBM,,Fast gradient boosting framework using tree-based learning algorithms. Especially efficient on large-scale datasets with lower memory usage and faster training speed than XGBoost.,true,MIT,Free,2016,4.5.0,18400,97,96,94,98,97,95,90,84,86,99,92,88,97,96,93,97,95,86,96,"Large-scale tabular data, high-dimensional features, memory-constrained training","Any",Optional,false,false,false,true,false,true,false,false,GDPR compliant,false,Completely free and open-source,"Microsoft,Airbnb,Pinterest","XGBoost,CatBoost,Random Forest",lightgbm microsoft gradient-boosting supervised classification regression fast,2026-06-01
alg-catboost,CatBoost,ML Algorithms,Supervised Learning — Classification & Regression,Yandex,https://catboost.ai,https://catboost.ai/en/docs/,https://github.com/catboost/catboost,,Gradient boosting algorithm that handles categorical features natively without preprocessing. Provides state-of-the-art performance on tabular and heterogeneous data with GPU training support.,true,Apache-2.0,Free,2017,1.2.7,8900,92,90,88,96,96,90,90,82,84,96,90,86,94,92,90,96,93,85,94,"Categorical-heavy datasets, automatic feature handling, tabular ML","Any",Optional,false,false,false,true,false,true,false,false,GDPR compliant,false,Completely free and open-source,"Yandex,CERN,Sberbank","XGBoost,LightGBM,Random Forest",catboost yandex gradient-boosting categorical supervised classification regression GPU,2026-06-01
alg-random-forest,Random Forest,ML Algorithms,Supervised Learning — Classification & Regression,Scikit-learn Community,https://scikit-learn.org/stable/modules/ensemble.html#forests-of-randomized-trees,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestClassifier.html,https://github.com/scikit-learn/scikit-learn,,Ensemble learning method using multiple decision trees during training. Highly robust baseline that handles noisy data and feature interactions well with low tuning effort and good interpretability.,true,BSD-3-Clause,Free,1995,1.5.0,66300,99,98,98,90,90,88,95,90,90,99,97,99,99,98,97,90,95,92,98,"Reliable classification/regression baseline, feature importance, noisy data","Any",None,false,false,false,false,false,true,false,false,GDPR compliant,false,Free via scikit-learn,"Healthcare companies,Banks,Many ML teams","XGBoost,SVM,Logistic Regression",random-forest ensemble supervised classification regression interpretable robust,2026-06-01
alg-logistic-regression,Logistic Regression,ML Algorithms,Supervised Learning — Classification,Scikit-learn Community,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LogisticRegression.html,https://scikit-learn.org/stable/modules/linear_model.html#logistic-regression,https://github.com/scikit-learn/scikit-learn,,Classic statistical classification algorithm for binary and multi-class problems. Highly interpretable baseline that outputs calibrated probabilities. Preferred for regulatory environments requiring explainability.,true,BSD-3-Clause,Free,1958,1.5.0,66300,99,96,98,99,82,80,95,92,90,99,99,99,99,99,99,80,94,95,99,"Binary/multi-class classification, interpretable AI, medical/finance ML, baseline","Any",None,false,false,false,false,false,true,false,false,"GDPR compliant, HIPAA compatible",false,Free via scikit-learn,"Healthcare regulators,Banks,Insurance","Random Forest,SVM,Neural Networks",logistic-regression supervised classification interpretable baseline linear regulatory,2026-06-01
alg-svm,Support Vector Machine,ML Algorithms,Supervised Learning — Classification & Regression,Scikit-learn Community,https://scikit-learn.org/stable/modules/svm.html,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVC.html,https://github.com/scikit-learn/scikit-learn,,Supervised learning model that finds an optimal hyperplane to separate classes in high-dimensional feature spaces. Effective for text classification image recognition and high-dimensional sparse data.,true,BSD-3-Clause,Free,1992,1.5.0,66300,97,90,90,90,88,82,95,90,88,98,94,96,99,98,96,88,93,90,95,"Text classification, image recognition, bioinformatics, high-dimensional data","Any",Optional,false,false,false,false,false,true,false,false,GDPR compliant,false,Free via scikit-learn,"Academic labs,Medical imaging teams,NLP teams","Random Forest,Neural Networks,Logistic Regression",svm support-vector-machine supervised classification high-dimensional text bioinformatics,2026-06-01
alg-decision-tree,Decision Tree,ML Algorithms,Supervised Learning — Classification & Regression,Scikit-learn Community,https://scikit-learn.org/stable/modules/tree.html,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeClassifier.html,https://github.com/scikit-learn/scikit-learn,,Supervised tree-based model that splits data by feature thresholds. Highly interpretable and explainable — each decision path can be visualized and explained to non-technical stakeholders.,true,BSD-3-Clause,Free,1963,1.5.0,66300,98,88,88,97,80,76,95,90,88,99,99,99,99,98,97,80,92,90,96,"Explainable AI, rule extraction, business decision logic, educational ML","Any",None,false,false,false,false,false,true,false,false,GDPR compliant,false,Free via scikit-learn,"Compliance teams,Healthcare,Banking","Random Forest,XGBoost,Logistic Regression",decision-tree supervised classification regression interpretable explainable rules,2026-06-01
alg-neural-network-mlp,Neural Network (MLP),ML Algorithms,Supervised Learning — Classification & Regression,Scikit-learn Community,https://scikit-learn.org/stable/modules/neural_networks_supervised.html,https://scikit-learn.org/stable/modules/generated/sklearn.neural_network.MLPClassifier.html,https://github.com/scikit-learn/scikit-learn,,Multi-layer perceptron neural network for supervised learning tasks. Flexible non-linear model useful for complex patterns but less preferred than deep learning frameworks for large-scale tasks.,true,BSD-3-Clause,Free,1986,1.5.0,66300,94,85,84,86,86,84,92,86,84,98,92,92,99,98,95,86,90,86,92,"Complex non-linear patterns, tabular-to-neural transfer, medium-scale classification","Any",Optional,false,false,false,true,false,true,false,false,GDPR compliant,false,Free via scikit-learn; large-scale use PyTorch/TF instead,"Research labs,Universities","XGBoost,PyTorch,TensorFlow",mlp neural-network supervised tabular classification regression non-linear,2026-06-01
alg-linear-regression,Linear Regression,ML Algorithms,Supervised Learning — Regression,Scikit-learn Community,https://scikit-learn.org/stable/modules/linear_model.html#ordinary-least-squares,https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LinearRegression.html,https://github.com/scikit-learn/scikit-learn,,Foundational regression technique that models the linear relationship between input features and a continuous target variable. Highly interpretable with strong theoretical guarantees for many problem types.,true,BSD-3-Clause,Free,1805,1.5.0,66300,99,95,96,99,82,78,95,92,90,99,99,99,99,99,99,80,94,94,99,"Continuous value prediction, baseline regression, economic forecasting, interpretable ML","Any",None,false,false,false,false,false,true,false,false,"GDPR compliant, HIPAA compatible",false,Free via scikit-learn,"Financial firms,Healthcare,Economics researchers","XGBoost,Gradient Boosting,Neural Networks",linear-regression supervised regression interpretable baseline continuous prediction,2026-06-01
alg-gradient-boosting,Gradient Boosting,ML Algorithms,Supervised Learning — Classification & Regression,Scikit-learn Community,https://scikit-learn.org/stable/modules/ensemble.html#gradient-tree-boosting,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingClassifier.html,https://github.com/scikit-learn/scikit-learn,,Ensemble technique building models sequentially where each corrects the errors of the previous. The family that spawned XGBoost LightGBM and CatBoost. sklearn version is reliable for smaller datasets.,true,BSD-3-Clause,Free,2001,1.5.0,66300,97,90,90,90,90,86,94,88,86,98,94,94,99,97,95,90,93,88,95,"Classification and regression on structured data, moderate dataset sizes","Any",None,false,false,false,true,false,true,false,false,GDPR compliant,false,Free via scikit-learn,"Financial services, Risk modeling teams","XGBoost,LightGBM,Random Forest",gradient-boosting supervised ensemble classification regression sequential,2026-06-01
