id,name,category,subcategory,vendor,website,documentation,github_url,logo,description,open_source,license,pricing_model,release_year,latest_version,github_stars,community_score,enterprise_adoption_score,enterprise_readiness_score,latency_score,performance_score,scalability_score,security_score,governance_score,observability_score,cost_efficiency_score,developer_experience_score,deployment_complexity_score,ecosystem_maturity_score,integration_score,maintenance_score,benchmark_score,overall_rating,ai_trust_score,production_reliability_score,best_for,supported_clouds,gpu_requirement,multi_modal_support,rag_support,agent_support,fine_tuning_support,api_available,self_hosting_support,vector_search_support,streaming_support,compliance,sla_support,pricing_notes,enterprise_clients,top_competitors,tags,last_updated
aieval-ragas,Ragas,AI Evaluation Tools,RAG Evaluation,Ragas Project,https://ragas.io,https://docs.ragas.io,https://github.com/explodinggradients/ragas,,Evaluates Retrieval Augmented Generation pipelines focusing on faithfulness context precision and answer relevance. Works without ground truth labels using LLM-as-judge approach.,true,Apache-2.0,Freemium,2023,0.2.7,8500,90,82,80,85,88,82,78,75,80,92,88,85,84,86,82,86,84,88,85,"Evaluating RAG retrieval precision and faithfulness, LLM-as-judge metrics","Any",None,false,true,true,false,true,true,false,false,"GDPR compliant",false,Free open-source; Ragas Cloud from $49/month,"Accenture,AI startups using RAG","DeepEval,TruLens,LangSmith",evaluation ragas RAG benchmark testing metrics faithfulness retrieval,2026-06-01
aieval-deepeval,DeepEval,AI Evaluation Tools,LLM Unit Testing,Confident AI,https://confident-ai.com,https://docs.confident-ai.com,https://github.com/confident-ai/deepeval,,"Unit testing framework for LLM metrics. Runs assertion-based pytest tests on accuracy bias toxicity hallucination and 14+ metrics. Best for engineering CI/CD integration.",true,Apache-2.0,Freemium,2023,1.5.8,5400,88,82,85,88,88,85,82,82,84,90,92,88,82,86,84,87,86,90,86,"LLM regression testing, CI/CD eval pipelines, automated quality gates","Any",None,true,true,true,false,true,true,false,false,"SOC2",true,Free open-source; Cloud from $99/month for teams,"Airbnb AI teams, Startups","Ragas,TruLens,LangSmith",evaluation deepeval pytest llm-testing quality ci-cd metrics bias toxicity,2026-06-01
aieval-promptfoo,Promptfoo,AI Evaluation Tools,Prompt & Model Testing,Promptfoo Inc,https://www.promptfoo.dev,https://www.promptfoo.dev/docs/,https://github.com/promptfoo/promptfoo,,CLI and API tool for evaluating prompt outputs against multiple models simultaneously. Enables rapid red-teaming and A/B testing of prompts across OpenAI Anthropic and open models.,true,MIT,Freemium,2023,0.80.0,4800,88,82,80,90,86,82,84,82,80,94,92,88,82,86,84,87,85,88,84,"Prompt A/B testing, model comparison, red-teaming, fast iteration","Any",None,true,true,true,false,true,true,false,false,"GDPR compliant",false,Free CLI; Enterprise license for team features,"Cloudflare AI,Enterprise AI teams","DeepEval,Braintrust,LangSmith",promptfoo evaluation prompt-testing model-comparison red-teaming cli a-b-testing,2026-06-01
aieval-langsmith,LangSmith,AI Evaluation Tools,Production Observability & Evals,LangChain Inc,https://smith.langchain.com,https://docs.smith.langchain.com,,,Observability and evaluation platform for LangChain and LangGraph applications. Provides tracing experiment management human-in-the-loop annotation and production debugging.,false,Proprietary,Freemium,2023,current,0,92,88,90,88,90,88,88,88,92,86,92,80,88,94,88,90,90,90,90,"LangChain/LangGraph apps, trace debugging, production monitoring, human feedback","AWS,Azure,GCP",None,true,true,true,false,true,false,false,true,"SOC2",true,Free for 5K traces/month; Developer $39/month; Plus $99/month; Enterprise contact sales,"Replit,Elastic,SAP","DeepEval,Braintrust,Arize Phoenix",langsmith langchain tracing evaluation observability production annotation,2026-06-01
aieval-braintrust,Braintrust,AI Evaluation Tools,All-in-One Eval Platform,Braintrust AI,https://www.braintrust.dev,https://www.braintrust.dev/docs,,,All-in-one platform for running LLM experiments managing datasets and evaluating AI apps. Provides a unified UI for experiment results regression testing and human review queues.,false,Proprietary,Freemium,2023,current,0,88,84,86,86,88,84,86,84,88,86,90,80,84,88,84,87,87,88,88,"Experiment management, team eval collaboration, dataset management, A/B testing","Any",None,true,true,true,false,true,true,false,false,"SOC2",true,Free tier; Teams $500/month; Enterprise contact sales,"AI engineering teams, Startups","LangSmith,DeepEval,Promptfoo",braintrust evaluation experiments datasets team collaboration llm testing,2026-06-01
aieval-trulens,TruLens,AI Evaluation Tools,RAG Observability,TruEra / Snowflake,https://www.trulens.org,https://www.trulens.org/docs/,https://github.com/truera/trulens,,Evaluation and observability library for LLM applications with focus on RAG pipelines. Supports real-time feedback logging using TruChain TruLlama and TruBasic wrappers.,true,MIT,Freemium,2022,1.1.4,2200,84,80,82,84,86,80,80,80,84,88,88,82,80,84,82,84,83,86,84,"RAG quality monitoring, real-time evaluation feedback, notebook-first eval workflow","Any",None,false,true,true,false,true,true,false,true,"GDPR compliant",false,Free open-source; TruEra Enterprise adds production features,"Snowflake customers, AI startups","Ragas,LangSmith,Phoenix",trulens evaluation rag observability real-time feedback monitoring truchain,2026-06-01
aieval-arize-phoenix,Arize Phoenix,AI Evaluation Tools,LLM Observability & Tracing,Arize AI,https://phoenix.arize.com,https://docs.arize.com/phoenix,https://github.com/Arize-ai/phoenix,,Open-source LLM observability and evaluation platform. Provides traces embeddings clustering and automated evals for debugging and monitoring LLM and RAG applications in production.,true,Elv2 (open source),Freemium,2023,5.0.0,4200,88,84,86,86,88,86,84,82,88,90,90,82,84,88,86,87,86,88,88,"LLM production debugging, trace visualization, embedding clustering, RAG evals","AWS,Azure,GCP,Self-hosted",None,true,true,true,false,true,true,false,true,"SOC2",true,Free open-source; Arize Cloud from $500/month,"Comcast AI,Enterprise ML teams","LangSmith,TruLens,Langfuse",arize phoenix observability tracing embeddings evaluation rag production debugging,2026-06-01
aieval-langfuse,Langfuse,AI Evaluation Tools,LLM Observability & Tracing,Langfuse GmbH,https://langfuse.com,https://langfuse.com/docs,https://github.com/langfuse/langfuse,,Open-source LLM observability platform. Tracks costs latency quality and traces for LLM applications. Popular self-hosted alternative to LangSmith with SDKs for Python and TypeScript.,true,MIT / Langfuse Enterprise,Freemium,2023,2.65.0,7800,92,84,86,88,88,86,86,84,88,92,94,84,86,90,88,89,88,90,90,"Self-hosted LLM observability, cost tracking, latency monitoring, team collaboration","Any",None,true,true,true,false,true,true,false,true,"SOC2, GDPR",true,Free self-hosted; Cloud Hobby free; Pro $59/month; Enterprise contact,"European enterprises, Startups preferring self-hosted","LangSmith,Phoenix,TruLens",langfuse observability tracing cost-tracking latency self-hosted open-source team,2026-06-01
aieval-helm,HELM,AI Evaluation Tools,Academic Benchmarking,Stanford CRFM,https://crfm.stanford.edu/helm/latest/,https://crfm.stanford.edu/helm/latest/,https://github.com/stanford-crfm/helm,,Holistic Evaluation of Language Models from Stanford. Comprehensive academic framework evaluating LLMs across accuracy calibration robustness fairness bias and efficiency dimensions.,true,Apache-2.0,Free,2022,0.5.4,1800,82,78,80,80,88,80,86,84,82,94,86,84,88,88,84,90,86,88,86,"Academic model benchmarking, safety research, LLM comparisons, holistic evaluation","Any (local)",Optional,true,false,false,false,false,true,false,false,"GDPR compliant",false,Completely free and open-source,"Stanford,Academic ML labs,AI safety researchers","lm-eval-harness,Promptfoo,DeepEval",helm stanford benchmark evaluation holistic accuracy fairness bias safety research,2026-06-01
aieval-lm-eval,EleutherAI lm-eval-harness,AI Evaluation Tools,Model Benchmarking,EleutherAI,https://github.com/EleutherAI/lm-evaluation-harness,https://github.com/EleutherAI/lm-evaluation-harness/blob/main/README.md,https://github.com/EleutherAI/lm-evaluation-harness,,Standard open-source framework for evaluating language models on hundreds of academic tasks. Used by HuggingFace Open LLM Leaderboard as the backbone evaluation framework.,true,MIT,Free,2021,0.4.3,6900,90,80,82,82,90,82,88,84,82,96,88,86,88,90,86,92,88,90,88,"Model benchmarking on academic tasks, Open LLM Leaderboard evaluations, research","Any (local)",Optional,true,false,false,false,false,true,false,false,"GDPR compliant",false,Completely free and open-source,"HuggingFace,EleutherAI,Academic labs","HELM,DeepEval,Promptfoo",lm-eval eleuther benchmark academic model-evaluation open-llm-leaderboard,2026-06-01
