id,name,category,subcategory,vendor,website,documentation,github_url,logo,description,open_source,license,pricing_model,release_year,latest_version,github_stars,community_score,enterprise_adoption_score,enterprise_readiness_score,latency_score,performance_score,scalability_score,security_score,governance_score,observability_score,cost_efficiency_score,developer_experience_score,deployment_complexity_score,ecosystem_maturity_score,integration_score,maintenance_score,benchmark_score,overall_rating,ai_trust_score,production_reliability_score,best_for,supported_clouds,gpu_requirement,multi_modal_support,rag_support,agent_support,fine_tuning_support,api_available,self_hosting_support,vector_search_support,streaming_support,compliance,sla_support,pricing_notes,enterprise_clients,top_competitors,tags,last_updated
safe-garak,Garak — LLM Vulnerability Scanner,AI Safety Tools,LLM Red Teaming,NVIDIA (via acquisition),https://garak.ai,https://docs.garak.ai,https://github.com/NVIDIA/garak,,"Open-source LLM vulnerability scanner — the ""nmap for LLMs."" Probes models for prompt injection jailbreaks data leakage hallucinations toxicity and 70+ other attack vectors.",true,Apache-2.0,Free,2023,0.9.0,2500,85,80,82,82,85,80,96,88,82,94,84,86,80,86,82,88,85,96,84,"LLM red teaming, vulnerability scanning, safety benchmarking, pre-deployment checks","Any",None,true,false,false,false,false,true,false,false,"GDPR compliant",false,Completely free and open-source; NVIDIA provides commercial support,"Enterprises using LLMs in production,AI safety teams","PyRIT,Promptfoo,HiddenLayer",garak llm red-teaming vulnerability scanner jailbreak prompt-injection safety,2026-06-01
safe-pyrit,PyRIT — Python Risk Identification Toolkit,AI Safety Tools,LLM Red Teaming,Microsoft,https://github.com/Azure/PyRIT,https://azure.github.io/PyRIT/,https://github.com/Azure/PyRIT,,"Microsoft's open-source framework for automating AI red teaming. Supports multi-turn adversarial simulations automated attack orchestration and risk identification across LLM and multimodal AI systems.",true,MIT,Free,2023,0.5.0,2100,82,82,84,82,84,80,96,88,82,92,84,84,82,84,84,86,84,96,84,"Automated multi-turn adversarial red teaming, enterprise AI risk assessment, CI/CD safety checks","Azure,Any",None,true,false,true,false,false,true,false,false,"SOC2 compatible",false,Completely free and open-source; Azure AI Studio integration,"Microsoft enterprise customers,Banks,Healthcare AI teams","Garak,HiddenLayer,Promptfoo",pyrit microsoft red-teaming adversarial automated multi-turn llm safety azure,2026-06-01
safe-guardrails,Guardrails AI,AI Safety Tools,Runtime Guardrails,Guardrails AI,https://guardrailsai.com,https://docs.guardrailsai.com,https://github.com/guardrails-ai/guardrails,,"Open-source validation framework for checking LLM outputs against structure security and quality rules. Supports PII detection toxicity filtering and structured output enforcement via Guard objects.",true,Apache-2.0,Freemium,2023,0.4.0,3800,90,84,86,84,88,86,94,90,88,88,92,84,88,90,86,88,88,95,88,"Real-time LLM output validation, PII filtering, structured output enforcement, policy gates","Any",None,true,true,true,false,true,true,false,true,"SOC2 (via Cloud SaaS)",true,Free open-source; Cloud Pro $499/month; Enterprise custom pricing,"Hedge funds,Legal AI teams,Healthcare","NeMo Guardrails,LLM Guard,Llama Guard",guardrails validation pii filtering toxicity structure output runtime llm safety,2026-06-01
safe-nemo-guardrails,NeMo Guardrails,AI Safety Tools,Conversational Safety,NVIDIA,https://github.com/NVIDIA/NeMo-Guardrails,https://docs.nvidia.com/nemo-guardrails/,https://github.com/NVIDIA/NeMo-Guardrails,,"NVIDIA's open-source toolkit for adding programmable safety and dialogue guardrails to LLM apps. Uses Colang — a specialized language — to define allowed conversation flows off-topic restrictions and safety policies.",true,Apache-2.0,Free,2023,0.8.0,4100,86,82,84,80,88,82,92,88,84,88,86,82,84,86,84,86,85,92,84,"Conversational AI safety, dialogue policy enforcement, topic restrictions, brand compliance","Any",None,false,false,false,false,false,true,false,false,"GDPR compliant",false,Free and open-source; NVIDIA AI Enterprise includes production support,"NVIDIA customers,Enterprises building chatbots","Guardrails AI,Llama Guard,LLM Guard",nemo-guardrails nvidia colang conversation safety policy topic-restriction llm,2026-06-01
safe-llama-guard,Llama Guard 3,AI Safety Tools,Content Classification,Meta AI,https://ai.meta.com/research/publications/llama-guard-llm-based-input-output-safeguard-for-human-ai-conversations/,https://huggingface.co/meta-llama/Llama-Guard-3-8B,https://github.com/meta-llama/llama-recipes,,Meta's fine-tuned model for classifying safety risks in human-AI conversations. Llama Guard 3 (8B) handles 13+ hazard categories including violence CSAM misinformation and provides low-latency content filtering.,true,Llama 3 Community License,Free,2023,3.0,134000,90,85,86,84,92,88,94,90,86,90,88,82,88,88,86,90,88,94,88,"Content moderation, input/output safety classification, compliance filtering, low-latency safety","Any",Required,true,false,false,true,false,true,false,true,"GDPR compliant, EU AI Act aligned",false,Free to run; GPU costs apply; Together AI and Fireworks offer hosted API,"Meta products,Enterprises filtering content","Guardrails AI,Azure Content Safety,AWS Comprehend",llama-guard meta content-moderation safety classification LLM filter input-output,2026-06-01
safe-llm-guard,LLM Guard,AI Safety Tools,Runtime Guardrails,Protect AI,https://llm-guard.com,https://llm-guard.com/input_scanners/anonymize/,https://github.com/protectai/llm-guard,,Open-source toolkit for securing LLM interactions. Provides 20+ scanners for PII anonymization prompt injection detection toxicity filtering and output validation in a modular middleware architecture.,true,MIT,Freemium,2023,0.3.14,1800,84,80,82,84,86,82,90,86,82,88,88,82,82,84,84,84,84,90,82,"PII protection in LLM apps, middleware safety layer, composable security scanners","Any",None,false,true,true,false,true,true,false,true,"GDPR, SOC2 compatible",false,Free open-source; Protect AI platform adds enterprise features,"AI middleware teams,Healthcare","Guardrails AI,NeMo Guardrails,Azure Content Safety",llm-guard pii scanner middleware security injection toxicity runtime protection,2026-06-01
safe-hiddenlayer,HiddenLayer Model Scanner,AI Safety Tools,Model Security,HiddenLayer Inc,https://hiddenlayer.com,https://hiddenlayer.com/solution/model-scanner/,,,Enterprise platform for securing AI models against adversarial attacks model backdoors supply chain threats and IP theft. Provides model scanning AI-DR (AI Detection & Response) and model integrity verification.,false,Proprietary,Subscription,2022,current,0,80,82,84,82,86,82,96,90,84,80,82,80,80,82,82,86,83,96,84,"Enterprise model security, supply chain protection, backdoor detection, adversarial defense","AWS,Azure,GCP",None,true,false,false,false,false,false,false,false,"SOC2, ISO27001",true,Enterprise subscription from $50K/year,"Fortune 500 enterprises,Defense contractors","Garak,SageMaker Model Monitor,Robust Intelligence",hiddenlayer model-security supply-chain backdoor adversarial enterprise protection scanning,2026-06-01
safe-azure-content-safety,Azure Content Safety,AI Safety Tools,Cloud Content Moderation,Microsoft,https://azure.microsoft.com/en-us/products/ai-services/ai-content-safety,https://learn.microsoft.com/en-us/azure/ai-services/content-safety/,,,Microsoft Azure's managed content moderation service. Detects harmful content across text and images including hate violence sexual content and self-harm with enterprise SLAs and compliance guarantees.,false,Proprietary,Pay-per-use,2023,current,0,86,88,90,88,90,86,96,94,88,84,88,74,92,90,88,88,88,94,90,"Enterprise content moderation, Azure-native safety, regulated industries, Microsoft apps","Azure",None,true,false,false,false,true,false,false,false,"SOC2, ISO27001, HIPAA, FedRAMP",true,"$1 per 1,000 transactions; Volume discounts for enterprise","Microsoft enterprise customers,Healthcare AI,Education","Llama Guard,AWS Comprehend,Guardrails AI",azure content-safety moderation cloud managed text image harmful enterprise microsoft,2026-06-01
safe-robust-intelligence,Robust Intelligence,AI Safety Tools,Enterprise AI Firewall,Robust Intelligence (ARIA),https://www.robustintelligence.com,https://docs.robustintelligence.com,,,Enterprise AI security platform providing AI firewall real-time threat detection and automated stress testing. Specializes in protecting production ML models from adversarial inputs and data poisoning attacks.,false,Proprietary,Enterprise,2020,current,0,78,82,84,78,84,80,96,92,82,72,80,76,78,80,80,84,82,96,82,"Enterprise AI firewall, production model protection, automated stress testing, data poisoning defense","AWS,Azure,GCP",None,true,false,false,false,true,false,false,false,"SOC2, ISO27001",true,Enterprise pricing only; contact sales,"JPMorgan AI,Citi AI,Major financial institutions","HiddenLayer,Garak,Azure Defender for AI",robust-intelligence ai-firewall adversarial protection data-poisoning stress-testing enterprise,2026-06-01
safe-aws-comprehend,Amazon Comprehend,AI Safety Tools,Cloud NLP & Content Safety,Amazon Web Services,https://aws.amazon.com/comprehend/,https://docs.aws.amazon.com/comprehend/,,,AWS managed NLP service with built-in content moderation entity recognition PII detection and sentiment analysis. Integrates natively with AWS AI stack for compliance-grade content filtering.,false,Proprietary,Pay-per-use,2017,current,0,86,90,92,86,88,88,96,92,86,82,86,72,94,96,88,86,88,94,90,"AWS-native PII detection, content moderation, NLP pipeline safety, healthcare HIPAA","AWS",None,false,false,false,false,true,false,false,false,"SOC2, HIPAA, PCI-DSS, FedRAMP",true,"$0.0001 per unit for standard; Medical comprehend separate pricing","Healthcare AI teams,AWS enterprise customers","Azure Content Safety,Google Natural Language","aws comprehend pii nlp content-moderation entity-recognition safety aws-native",2026-06-01
